OID_,Id,gridcode,Shape_Length,Shape_Area,CH_mean,ARVI_mean,ARVI_med,ARVI_max,EVI_mean,EVI_med,EVI_max,NDVI_mean,NDVI_med,NDVI_max,SAVI_mean,SAVI_med,SAVI_max,Veg_class
76,76,76,12.599999999627471,3.159999999273568,0.0150000,0.1292534,0.1292534,0.1570130,0.2246189,0.2246189,0.2487525,0.3244752,0.3244752,0.3505305,0.2340052,0.2340052,0.2577241,woody
77,77,77,8.800000004470348,3.079999999869615,0.0050000,0.1671866,0.1671866,0.1985842,0.2513767,0.2513767,0.2710392,0.3546710,0.3546710,0.3800944,0.2576170,0.2576170,0.2750983,woody
78,78,78,16.799999997019768,4.529999999403953,0.0050000,0.2699978,0.2843232,0.3972900,0.2796416,0.2852328,0.3246418,0.4277688,0.4384583,0.5173632,0.2790535,0.2832893,0.3140033,woody
79,79,79,15.200000001117587,2.780000000707805,0.0066667,0.1756596,0.1515151,0.2520511,0.2431184,0.2466190,0.2715912,0.3622351,0.3473511,0.4170750,0.2509398,0.2565729,0.2732342,woody
80,80,80,22.199999995529652,4.620000000502914,0.0033333,0.1098565,0.0825457,0.2031924,0.2127895,0.2119198,0.2498285,0.3094715,0.2927013,0.3779644,0.2237785,0.2262505,0.2536472,woody
81,81,81,8.600000001490116,2.210000001136213,0.0150000,0.0614040,0.0614040,0.0690849,0.1899092,0.1899092,0.1970819,0.2729099,0.2729099,0.2806637,0.2043268,0.2043268,0.2118156,woody
82,82,82,8.399999998509884,2.129999999031424,0.0150000,0.1734512,0.1734512,0.2795497,0.2542344,0.2542344,0.3064432,0.3624408,0.3624408,0.4452555,0.2617798,0.2617798,0.3067481,woody
83,83,83,8.199999999254942,2.390000000447035,0.0050000,0.2675653,0.2675653,0.2973913,0.2707323,0.2707323,0.2833005,0.4247128,0.4247128,0.4469382,0.2704623,0.2704623,0.2810431,woody
84,84,84,15.399999992921948,4.130000001173466,0.0025000,0.1407582,0.1268898,0.2835306,0.2293679,0.2306575,0.2763557,0.3349363,0.3272160,0.4385190,0.2393000,0.2417206,0.2766670,woody
85,85,85,13.600000001490116,4.160000000391156,0.0100000,0.1120106,0.1120106,0.1763393,0.2184680,0.2184680,0.2556818,0.3104053,0.3104053,0.3626373,0.2281931,0.2281931,0.2618504,woody
86,86,86,11.000000005587935,4.099999999254942,0.0100000,0.3788784,0.4142633,0.5191897,0.3430893,0.3564216,0.4035127,0.5078601,0.5333897,0.6088061,0.3307338,0.3410334,0.3787311,woody
87,87,87,18.999999990686774,4.920000000409781,0.0066667,0.0879223,0.0821987,0.1470213,0.2071264,0.2037737,0.2383019,0.2935045,0.2894052,0.3384354,0.2195208,0.2169019,0.2460841,woody
88,88,88,17.000000001862645,4.309999999459833,0.0100000,0.3236426,0.3494637,0.3918431,0.3100431,0.3141039,0.3324334,0.4728234,0.4932376,0.5210156,0.3069564,0.3108547,0.3242247,woody
89,89,89,10.599999999627471,3.239999999701977,0.0100000,0.2848693,0.2848693,0.3476764,0.2767538,0.2767538,0.2833026,0.4329177,0.4329177,0.4722658,0.2737983,0.2737983,0.2759736,woody
90,90,90,10.800000004470348,2.079999998752028,0.0200000,0.1063822,0.1063822,0.1481772,0.2138259,0.2138259,0.2287088,0.3083911,0.3083911,0.3392775,0.2257297,0.2257297,0.2374653,woody
91,91,91,8.799999998882413,2.600000000465661,0.0100000,0.1793059,0.2008597,0.2416734,0.2515718,0.2647690,0.2857961,0.3665506,0.3836110,0.4159333,0.2589537,0.2707054,0.2891178,woody
92,92,92,10.799999998882413,3.610000000298023,0.0075000,0.1836621,0.1703646,0.3788212,0.2541278,0.2521055,0.3377559,0.3661699,0.3596568,0.5058761,0.2593555,0.2597646,0.3249085,woody
93,93,93,12.000000005587935,5.220000002272427,0.0100000,0.1931903,0.1858527,0.2888889,0.2741197,0.2768447,0.3173145,0.3850996,0.3867568,0.4523318,0.2836603,0.2909063,0.3191726,woody
94,94,94,11.000000003725290,2.619999999105930,0.0100000,0.1395643,0.1357054,0.2834305,0.2403003,0.2332538,0.3290867,0.3374325,0.3319354,0.4581197,0.2501675,0.2430648,0.3322314,woody
95,95,95,28.999999994412065,8.790000002775342,0.0040000,0.2008958,0.1880373,0.3891675,0.2684529,0.2700195,0.3402526,0.3803896,0.3734990,0.5157319,0.2722412,0.2752798,0.3342417,woody
96,96,96,1512.199999922886491,1096.250000003166406,0.0101171,0.0497466,0.0219250,0.4525567,0.1858216,0.1772162,0.4078898,0.2638471,0.2442672,0.5737071,0.2005516,0.1940717,0.3896914,non-woody
97,97,97,14.999999996274710,3.980000000335276,0.0066667,0.1716433,0.0836186,0.3750000,0.2364661,0.2081997,0.3175845,0.3541216,0.2896217,0.5030268,0.2428033,0.2205317,0.3090684,woody
98,98,98,16.000000009313226,4.540000000726432,0.0083333,0.1939404,0.1647051,0.4385201,0.2422026,0.2258043,0.3478486,0.3731380,0.3514401,0.5525543,0.2484738,0.2351305,0.3358316,woody
99,99,99,11.999999996274710,4.690000000260770,0.0100000,0.2664566,0.2172910,0.3971649,0.2960978,0.2789279,0.3450684,0.4297929,0.3943662,0.5220807,0.2952307,0.2816429,0.3325854,woody
100,100,100,13.400000007823110,5.350000000093132,0.0025000,0.0764557,0.0753023,0.1836991,0.1937687,0.1921462,0.2425593,0.2834591,0.2813908,0.3681160,0.2068338,0.2048152,0.2501094,woody
101,101,101,37.800000008195639,11.890000000540168,0.0100000,0.2150608,0.2121654,0.4861591,0.2613142,0.2606383,0.3607640,0.3890789,0.3919452,0.5838968,0.2654444,0.2647259,0.3452871,woody
102,102,102,13.999999994412065,3.650000000000000,0.0150000,0.3198951,0.3198951,0.4326897,0.3001875,0.3001875,0.3443760,0.4683557,0.4683557,0.5489562,0.2979842,0.2979842,0.3333532,woody
103,103,103,15.400000000372529,4.100000000000001,0.0050000,0.0742985,0.0742985,0.1133535,0.2076499,0.2076499,0.2266111,0.2921886,0.2921886,0.3237352,0.2258202,0.2258202,0.2428257,woody
104,104,104,0.399999998509884,0.009999999925494,,,,,,,,,,,,,,woody
105,105,105,15.199999995529652,4.200000000000000,0.0000000,0.0908965,0.1193172,0.1692668,0.2079210,0.2252671,0.2436996,0.2963372,0.3184243,0.3584051,0.2203764,0.2357707,0.2520714,woody
106,106,106,25.799999989569187,6.720000000316649,0.0133333,0.2721264,0.2492054,0.4086109,0.2989436,0.2914718,0.3311794,0.4345604,0.4208415,0.5309006,0.2978300,0.2935115,0.3222196,woody
107,107,107,31.000000003725290,12.140000001285225,0.0062500,0.3280176,0.3244915,0.4643255,0.2987529,0.3006191,0.3569424,0.4698974,0.4677688,0.5702330,0.2942757,0.2961275,0.3429188,woody
108,108,108,10.199999999254942,2.699999999254942,0.0100000,0.2918664,0.2918664,0.3064055,0.3236037,0.3236037,0.3282796,0.4693152,0.4693152,0.4776188,0.3306236,0.3306236,0.3326548,woody
109,109,109,18.600000007078052,4.320000000502914,0.0100000,0.0388599,0.0388599,0.1554862,0.1822363,0.1822363,0.2519402,0.2536719,0.2536719,0.3532278,0.1957700,0.1957700,0.2629458,woody
110,110,110,13.000000007450581,4.440000000167638,0.0083333,0.0891303,0.0742991,0.3106364,0.2053974,0.2023201,0.3142423,0.2906246,0.2825177,0.4615384,0.2156819,0.2154216,0.3089701,woody
111,111,111,9.999999992549419,2.820000000409782,0.0100000,0.1916339,0.1916339,0.1926999,0.2493145,0.2493145,0.2736678,0.3833883,0.3833883,0.3968985,0.2617136,0.2617136,0.2907286,woody
112,112,112,13.000000007450581,2.219999999385327,0.0066667,0.1610952,0.1378882,0.2453476,0.2449553,0.2367187,0.2788104,0.3626281,0.3453630,0.4262616,0.2594222,0.2528159,0.2873816,woody
113,113,113,16.199999997392297,6.119999998919666,0.0040000,0.3263569,0.4089835,0.4735612,0.3042949,0.3503343,0.3666419,0.4662085,0.5321337,0.5738372,0.2974757,0.3350792,0.3508294,woody
114,114,114,13.599999995902181,2.969999999571591,0.0100000,0.1621554,0.1573890,0.3694167,0.2409737,0.2603921,0.3149920,0.3557426,0.3676586,0.5002878,0.2518573,0.2684850,0.3076469,woody
115,115,115,12.400000000372529,3.649999998975545,0.0100000,0.2292261,0.2573467,0.3609557,0.2640244,0.2903574,0.3171688,0.3973730,0.4214523,0.4976224,0.2654421,0.2891252,0.3111953,woody
116,116,116,14.799999998882413,3.219999999664724,0.0000000,0.0810230,0.0810230,0.0810230,0.1948394,0.1948394,0.1948394,0.2818664,0.2818664,0.2818664,0.2051981,0.2051981,0.2051981,woody
117,117,117,14.800000002607703,4.790000001937151,0.0166667,0.2538883,0.2487589,0.4327615,0.2899784,0.3093005,0.3408963,0.4159437,0.4209205,0.5396967,0.2885666,0.3085890,0.3255410,woody
118,118,118,17.199999997392297,5.879999999217689,0.0100000,0.1856233,0.1829824,0.3664051,0.2320087,0.2450230,0.2743632,0.3661936,0.3672855,0.4863388,0.2400116,0.2575758,0.2694248,woody
119,119,119,8.800000000745058,2.469999999664724,0.0100000,0.2699564,0.2699564,0.3983517,0.2891596,0.2891596,0.3220125,0.4277042,0.4277042,0.5180436,0.2880027,0.2880027,0.3119239,woody
